type	latency
E1	0.5
E1	1
E1	1.5
E1	2
E1	2.5
E1	3
E1	3.5
E1	4
E1	4.5
E1	5
E1	5.5
E1	6
E1	6.5
E1	7
E1	7.5
E1	8
E1	8.5
E1	9
E1	9.5
E1	10
E1	10.5
E1	11
E1	11.5
E1	12
E1	12.5
E1	13
E1	13.5
E1	14
E1	14.5
E1	15
E1	15.5
E1	16
E1	16.5
E1	17
E1	17.5
E1	18
E1	18.5
E1	19
E1	19.5
E1	20
E1	20.5
E1	21
E1	21.5
E1	22
E1	22.5
E1	23
E1	23.5
E1	24
E1	24.5
E1	25
E1	25.5
E1	26
E1	26.5
E1	27
E1	27.5
E1	28
E1	28.5
E1	29
E1	29.5
E1	30
E1	30.5
E1	31
E1	31.5
E1	32
E1	32.5
E1	33
E1	33.5
E1	34
E1	34.5
E1	35
E1	35.5
E1	36
E1	36.5
E1	37
E1	37.5
E1	38
E1	38.5
E1	39
E1	39.5
E1	40
E1	40.5
E1	41
E1	41.5
E1	42
E1	42.5
E1	43
E1	43.5
E1	44
E1	44.5
E1	45
E1	45.5
E1	46
E1	46.5
E1	47
E1	47.5
E1	48
E1	48.5
E1	49
E1	49.5
E1	50
E1	50.5
E1	51
E1	51.5
E1	52
E1	52.5
E1	53
E1	53.5
E1	54
E1	54.5
E1	55
E1	55.5
E1	56
E1	56.5
E1	57
E1	57.5
E1	58
E1	58.5
E1	59
E1	59.5
E1	60
E1	60.5
